Title,URL
"Ministry of Consumer Affairs, Food and Public Distribution",https://igod.gov.in/organization/Gs4zv3QBGZk0jujBKgGW
Ministry of Planning,https://igod.gov.in/organization/5wPlNYYB77KrIrzWr9-k
"e-Committee, Supreme Court of India",https://ecommitteesci.gov.in
Judicial Academy for the States of Telangana and Andhra Pradesh,https://ja.tap.nic.in
"Society for Centralized Recruitment in Subordinate Courts, Under Punjab and Haryana High Court",https://www.sssc.gov.in
Computerization and Computer Networking of Consumer Forums in Country (Confonet),https://confonet.nic.in
"National Human Rights Commission (NHRC), India",https://nhrc.nic.in
Insurance Regulatory and Development Authority (IRDA),https://www.irdai.gov.in
CCRAS-Research Management Information System,https://rmis.nic.in/#/home
Shri Lal Bahadur Shastri National Sanskrit University,https://www.slbsrsv.ac.in
Lok Sabha Television (LSTV),https://sansadtv.nic.in/live-tv
Loksabha (Hindi),https://sansad.in/ls/hi
Rajyasabha (Hindi),https://sansad.in/rs/hi
"SuSwagatam, Supreme Court of India",https://suswagatam.sci.gov.in/public/Index.aspx
"Panchkula Metropolitan Development Authority, Haryana",https://pmdahry.org.in
Andhra Pradesh State Legal Services Authority,https://apslsa.ap.nic.in
"e-Courts Services, High Courts of India, District and Taluka Courts of India",https://ecourts.gov.in
"Mediation Center, High Court of Punjab and Haryana",https://mediationcentrephhc.gov.in
Rajasthan Civil Services Appellate Tribunal,https://rcsat.rajasthan.gov.in
Rajasthan State Legal Services Authority,https://rlsa.gov.in
National Portal For Transgender Persons,https://transgender.dosje.gov.in
Vice President of India,https://vicepresidentofindia.nic.in
National Portal for Renewable purchase obligation (RPO),https://rpo.gov.in
Samanvay - Knowledge Management Portal for CPSEs,https://samanvay.cpse.in
"Department of Public Enterprises (DPE), MOU Division",https://dpemou.nic.in
"The Provisions of the Panchayats (Extension to the Scheduled Areas) Act, 1996 (PESA)",https://pesadarpan.gov.in
NGO Portal,https://moprngo.gov.in
"Rural Bazaar, Ministry of Panchayati Raj",https://ruralbazaar.gov.in
Direct Benefit Transfer (DBT) Portal - Department of Youth Affairs,https://dbtyas-youth.gov.in
"Indian Statistical Institute (ISI), Delhi",https://www.isid.ac.in
"Global Indices for Reforms & Growth (GIRG), NITI Aayog",https://girg.gov.in
"SANDES, Government Instant Messaging System",https://www.sandes.gov.in
Trusted Telecom Portal,https://trustedtelecom.gov.in
Antrix Corporation Limited,https://www.antrix.co.in
Clinical Trials Registry-India (CTRI),https://ctri.nic.in
SDG India Dashboard,https://sdgindiaindex.niti.gov.in
"Regional Directorate of Apprenticeship Training, Mumbai (Western Region)",https://rdsdemaharashtra.dgt.gov.in
Jeevan Pramaan - Digital Life Certificate for Pensioners,https://jeevanpramaan.gov.in
"Gujarat Ayurved University, Jamnagar",https://www.ayurveduniversity.edu.in
National AYUSH Mission (NAM),https://namayush.gov.in
"International Day of Yoga, June 21",https://yoga.ayush.gov.in
Yoga Locator,https://namaste-yoga.ayush.gov.in
Indian Institute of Legal Metrology,https://iilm.gov.in
Ayush Clinical Case Repository,https://accr.ayush.gov.in
TAMRA Web Portal,https://tamra.gov.in
Bharat6G Alliance,https://bharat6galliance.com
Tirupur City Municipal Corporation,
Welcome to Maraimalai Nagar Municipality,
"Kumbakonam Municipality, Tamil Nadu",
Madhya Pradesh State Human Rights Commission,
State Bank of Saurashtra (SBS),
Roaming Ration Card Web Portal,
web site of patan toursim,
"Government Polytechnic, Ahmedabad",
"Satna Zila Panchyat, Madhya Pradesh",
Official Roorkee Website,
State Biotechnology Programme,
Maps Of Uttaranchal Parliamentry Constituencies,
Raj Bhawan Website,
Uttarakhand: At A Glance,
"Uttarakhand Institute of Rural Development (UIRD), Rudrapur (US Nagar)",
Kumaon Engineering College,
eGazette of Uttarakhand,
"Gazette Information System, Uttarakhand",
"Directorate of Small Savings and State Lotteries (MPSSLA), Government of Madhya Pradesh, Bhopal.",
"Government Polytechnic College, Mandla, Madhya Pradesh.",
"Bio Diversity and Bio Technology Department, Madhya Pradesh",
"Public Enterprises Department, Madhya Pradesh",
Parliamentary Affairs,
Website of the Department of Veterinary Public Health,
Website of the Department of Veterinary Pharmacology and Taxicology,
Website of the Department of Veterinary Physiology,
Website of the Department of Veterinary Surgery and Radiology,
Website of the Department of Livestock Products Technology,
Scheduled Tribe Development,
Sutharyakeralam Public Interface,
Kerala State Farmers Debt Relief Commission,
Akshaya,
Website of the Department of Veterinary Microbilogy,
Website of the Department of Veterinary Pathology,
Himachal Pradesh Krishi Vishwavidyalay,
Haryana Government,
"Sainik welfare department, kerala",
"Printing department, Kerala",
"Department of Syrvey, Kerala",
GIS Haryana,
Online Treasuries Information System,
State Road Transport Corporation,
"Law Department, Kerala",https://www.lawsect.kerala.gov.in/english
Tender Information System - Government of Kerala,
"Department of Biotechnology, Sindhu Mahavidyalaya",
The Business School - University of Jammu,
"Indian Institute of Integrative Medicine, Jammu",
"Government Women's Polytechnic College, Bhopal",
Tilka Manjhi Bhagalpur University (TMBU),
Patna Science College,
"Bihar National College, Patna",
Delhi Transco Limited (DTL),https://www.dtl.gov.in
"Food Corporation of India, Himachal Region",
Website of the Department of Animal Nutrition,
"Estate Office, Chandigarh",
Homeopathic Medical College and Hospital,
"Postgraduate Institute of Medical Education & Research, Chandigarh",
"Udupi Zilla Panchayat, Karnataka",
Website of the Department of Livestock Production and Management,
Website of the Department of Veterinary Anatomy and Histology,
Website of the Department of Veterinary Biochemistry,
Website of the Department of Clinical Veterinary Medicine including Ethics and Jurisprudence,
"Finance Department, Andaman & Nicobar",
"Planning Department, Andaman & Nicobar",
Website of the Department of Veterinary Parasitology,
